VTSAX,0.84,0.16,,,
VFIAX,1.00,,,,
GOOG,1.00,,,,
GOOGL,1.00,,,,
VEXAX,,1.00,,,
VIMAX,,1.00,,,
VTIAX,,,0.77,0.23,
VTMGX,,,1.00,,
VEMAX,,,,1.00,
VBTLX,,,,,1.00
SCHB,0.83,0.17,,,
HD,1.00,,,,
V,1.00,,,,
MSFT,1.00,,,,
IJK,,1.00,,,
IJJ,,1.00,,,
BIV,,,,,1.00
BSV,,,,,1.00
SCHZ,,,,,1.00
SCHF,,,1.00,0.00,
